_id,ID,Binomal_Jetz,English,Museum_collection,Museum_accession,Sex,Museum_genus,Museum_species,Museum_subspecies,Specimen_label_photos,MMB_scan_url,MMB_scan_download,Markup_1,Markup_2,Markup_3,Markup_4
12,Eudromia_elegans_1,Eudromia_elegans,Elegant Crested-tinamou,Tring,92.6.9.106,M,Eudromia,elegans,multiguttata,Y,https://www.markmybird.org/gallery/eudromia_elegans/802,http://lfs.nhm.ac.uk/mark-my-bird/Eudromia_elegans/Eudromia_elegans_1.obj,485_oharar,40_chris13,44_Chris,484_Theivaprakasham
13,Tinamotis_pentlandii_1,Tinamotis_pentlandii,Puna Tinamou,Tring,1946.49.135,M,Tinamotis,pentlandii,,Y,https://www.markmybird.org/gallery/tinamotis_pentlandii/1485,http://lfs.nhm.ac.uk/mark-my-bird/Tinamotis_pentlandii/Tinamotis_pentlandii_1.obj,36_zoe,465_JSquirrell,52_grrlscientist,44_Chris
14,Ortalis_vetula_1,Ortalis_vetula,Plain Chachalaca,Tring,1891.10.21.271,M,Ortalis,vetula,vetula,Y,https://www.markmybird.org/gallery/ortalis_vetula/323,http://lfs.nhm.ac.uk/mark-my-bird/Ortalis_vetula/Ortalis_vetula_1.obj,175_JohnF,227_Zeb,44_Chris,43_elliot
15,Penelope_argyrotis_1,Penelope_argyrotis,Band-tailed Guan,Tring,1914.11.26.29,U,Penelope,argyrotis,,Y,https://www.markmybird.org/gallery/penelope_argyrotis/1147,http://lfs.nhm.ac.uk/mark-my-bird/Penelope_argyrotis/Penelope_argyrotis_1.obj,147_EllenB75,43_elliot,4_gavin,
16,Pipile_cumanensis_1,Pipile_cumanensis,Blue-throated Piping-guan,Tring,1940.12.5.43,M,Aburria,pipile,cumanensis,Y,https://www.markmybird.org/gallery/pipile_cumanensis/362,http://lfs.nhm.ac.uk/mark-my-bird/Aburria_pipile/Aburria_pipile_1.obj,183_ThomasG,43_elliot,44_Chris,36_zoe
17,Aburria_aburri_1,Aburria_aburri,Wattled Guan,Tring,1950.64.59,M,Aburria,aburri,,Y,https://www.markmybird.org/gallery/aburria_aburri/516,http://lfs.nhm.ac.uk/mark-my-bird/Aburria_aburri/Aburria_aburri_1.obj,278_I,43_elliot,363_Peregrin3,36_zoe
18,Chamaepetes_unicolor_1,Chamaepetes_unicolor,Black Guan,Tring,1889.6.1.275,U,Chamaepetes,unicolor,,Y,https://www.markmybird.org/gallery/chamaepetes_unicolor/658,http://lfs.nhm.ac.uk/mark-my-bird/Chamaepetes_unicolor/Chamaepetes_unicolor_1.obj,4_gavin,369_Gepwin,56_hughbrazier,43_elliot
19,Penelopina_nigra_1,Penelopina_nigra,Highland Guan,Tring,89.5.13.585,U,Penelopina,nigra,,,https://www.markmybird.org/gallery/penelopina_nigra/1149,http://lfs.nhm.ac.uk/mark-my-bird/Penelopina_nigra/Penelopina_nigra_1.obj,147_EllenB75,43_elliot,44_Chris,677_Eleanor
20,Oreophasis_derbianus_1,Oreophasis_derbianus,Horned Guan,Tring,1891.10.21.294,U,Oreophasis,derbianus,,,https://www.markmybird.org/gallery/oreophasis_derbianus/316,http://lfs.nhm.ac.uk/mark-my-bird/Oreophasis_derbianus/Oreophasis_derbianus_1.obj,190_Pardalotus,200_drmtbishop,44_Chris,43_elliot
21,Nothocrax_urumutum_1,Nothocrax_urumutum,Nocturnal Curassow,Tring,1889.6.1.166,F,Nothocrax,urumutum,,Y,https://www.markmybird.org/gallery/nothocrax_urumutum/1087,http://lfs.nhm.ac.uk/mark-my-bird/Nothocrax_urumutum/Nothocrax_urumutum_1.obj,147_EllenB75,44_Chris,396_Arasevera,35_Lara
22,Mitu_tomentosum_1,Mitu_tomentosum,Crestless Curassow,Tring,95.11.28.57,M,Mitu,tomentosa,,Y,https://www.markmybird.org/gallery/mitu_tomentosum/1028,http://lfs.nhm.ac.uk/mark-my-bird/Mitu_tomentosa/Mitu_tomentosa_1.obj,40_chris13,41_Emma,5_Jen,44_Chris
23,Crax_rubra_1,Crax_rubra,Great Curassow,Tring,89.5.13.583,M,Crax,rubra,,Y,https://www.markmybird.org/gallery/crax_rubra/147,http://lfs.nhm.ac.uk/mark-my-bird/Crax_rubra/Crax_rubra_1.obj,56_hughbrazier,175_JohnF,44_Chris,43_elliot
24,Alectura_lathami_1,Alectura_lathami,Australian Brush-turkey,Tring,1925.11.1.554,M,Alectura,lathami,lathami,Y,https://www.markmybird.org/gallery/alectura_lathami/533,http://lfs.nhm.ac.uk/mark-my-bird/Alectura_lathami/Alectura_lathami_1.obj,485_oharar,43_elliot,363_Peregrin3,40_chris13
25,Aepypodius_arfakianus_1,Aepypodius_arfakianus,Wattled Brush-turkey,Tring,1913.3.6.2,M,Aepypodius,arfakianus,,Y,https://www.markmybird.org/gallery/aepypodius_arfakianus/521,http://lfs.nhm.ac.uk/mark-my-bird/Aepypodius_arfakianus/Aepypodius_arfakianus_1.obj,278_I,43_elliot,147_EllenB75,44_Chris
26,Talegalla_cuvieri_1,Talegalla_cuvieri,Red-billed Brush-turkey,Tring,1911.12.20.3,M,Talegalla,cuvieri,,Y,https://www.markmybird.org/gallery/talegalla_cuvieri/1455,http://lfs.nhm.ac.uk/mark-my-bird/Talegalla_cuvieri/Talegalla_cuvieri_1.obj,43_elliot,44_Chris,52_grrlscientist,36_zoe
27,Macrocephalon_maleo_1,Macrocephalon_maleo,Maleo,Tring,73.5.12.2191,M,Macrocephalon,maleo,,Y,https://www.markmybird.org/gallery/macrocephalon_maleo/974,http://lfs.nhm.ac.uk/mark-my-bird/Macrocephalon_maleo/Macrocephalon_maleo_1.obj,696_RichardParker,40_chris13,41_Emma,5_Jen
28,Megapodius_freycinet_1,Megapodius_freycinet,Dusky Megapode,Tring,81.5.1.5666,M,Megapodius,freycinet,,,https://www.markmybird.org/gallery/megapodius_freycinet/269,http://lfs.nhm.ac.uk/mark-my-bird/Megapodius_freycinet/Megapodius_freycinet_1.obj,175_JohnF,36_zoe,44_Chris,43_elliot
29,Eulipoa_wallacei_1,Eulipoa_wallacei,Moluccan Megapode,Tring,73.5.12.2192,F,Eulipoa,wallacei,,Y,https://www.markmybird.org/gallery/eulipoa_wallacei/807,http://lfs.nhm.ac.uk/mark-my-bird/Eulipoa_wallacei/Eulipoa_wallacei_1.obj,304_CLRowe,363_Peregrin3,44_Chris,43_elliot
30,Leipoa_ocellata_1,Leipoa_ocellata,Malleefowl,Tring,477,U,Leipoa,ocellata,,Y,https://www.markmybird.org/gallery/leipoa_ocellata/938,http://lfs.nhm.ac.uk/mark-my-bird/Leipoa_ocellata/Leipoa_ocellata_1.obj,36_zoe,369_Gepwin,4_gavin,44_Chris
31,Lerwa_lerwa_1,Lerwa_lerwa,Snow Partridge,Tring,1965.M.1786,M,Lerwa,lerwa,,Y,https://www.markmybird.org/gallery/lerwa_lerwa/1783,http://lfs.nhm.ac.uk/mark-my-bird/Lerwa_lerwa/Lerwa_lerwa_1.obj,465_JSquirrell,36_zoe,44_Chris,43_elliot
32,Ammoperdix_griseogularis_1,Ammoperdix_griseogularis,See-see Partridge,Tring,1924.320.25,M,Ammoperdix,griseogularis,,Y,https://www.markmybird.org/gallery/ammoperdix_griseogularis/1190,http://lfs.nhm.ac.uk/mark-my-bird/Ammoperdix_griseogularis/Ammoperdix_griseogularis_1.obj,44_Chris,445_drugantibus,36_zoe,43_elliot
33,Tetraogallus_caspius_1,Tetraogallus_caspius,Caspian Snowcock,Tring,1910.6.9.2,M,Tetraogallus,caspius,caspius,Y,https://www.markmybird.org/gallery/tetraogallus_caspius/3597,http://lfs.nhm.ac.uk/mark-my-bird/Tetraogallus_caspius/Tetraogallus_caspius_1.obj,44_Chris,43_elliot,765_lubnick134,
34,Tetraophasis_szechenyii_1,Tetraophasis_szechenyii,Buff-throated Partridge,Tring,1923.11.11.3,M,Tetraophasis,szechenyii,,Y,https://www.markmybird.org/gallery/tetraophasis_szechenyii/483,http://lfs.nhm.ac.uk/mark-my-bird/Tetraophasis_szechenyii/Tetraophasis_szechenyii_1.obj,485_oharar,43_elliot,363_Peregrin3,44_Chris
35,Alectoris_chukar_1,Alectoris_chukar,Chukar,Manchester,4114,U,Alectoris,chukar,,,https://www.markmybird.org/gallery/alectoris_chukar/530,http://lfs.nhm.ac.uk/mark-my-bird/Alectoris_chukar/Alectoris_chukar_1.obj,48_okeeffeml,43_elliot,36_zoe,44_Chris
36,Francolinus_jacksoni_1,Francolinus_jacksoni,Jackson's Francolin,Tring,1910.12.26.3,M,Francolinus,jacksoni,jacksoni,Y,https://www.markmybird.org/gallery/francolinus_jacksoni/3484,http://lfs.nhm.ac.uk/mark-my-bird/Francolinus_jacksoni/Francolinus_jacksoni_1.obj,665_Chris W,44_Chris,43_elliot,
37,Perdix_perdix_1,Perdix_perdix,Grey Partridge,Tring,1941.5.30.8917,M,Perdix,perdix,,Y,https://www.markmybird.org/gallery/perdix_perdix/341,http://lfs.nhm.ac.uk/mark-my-bird/Perdix_perdix/Perdix_perdix_1.obj,175_JohnF,43_elliot,44_Chris,36_zoe
38,Rhizothera_longirostris_1,Rhizothera_longirostris,Long-billed Partridge,Tring,76.3.7.14,M,Rhizothera,longirostris,longirostris,Y,https://www.markmybird.org/gallery/rhizothera_longirostris/1619,http://lfs.nhm.ac.uk/mark-my-bird/Rhizothera_longirostris/Rhizothera_longirostris_1.obj,40_chris13,36_zoe,52_grrlscientist,
39,Margaroperdix_madagascariensis_1,Margaroperdix_madagascariensis,Madagascar Partridge,Tring,1931.8.18.692,M,Margaroperdix,madagarensis,,Y,https://www.markmybird.org/gallery/margaroperdix_madagascariensis/1759,http://lfs.nhm.ac.uk/mark-my-bird/Margaroperdix_madagarensis/Margaroperdix_madagarensis_1.obj,465_JSquirrell,36_zoe,540_meyerscottbgmail.com,44_Chris
40,Melanoperdix_niger_2,Melanoperdix_niger,Black Partridge,Tring,1900.2.15.67,M,Melanoperdix,niger,borneensis,,https://www.markmybird.org/gallery/melanoperdix_niger/271,http://lfs.nhm.ac.uk/mark-my-bird/Melanoperdix_niger/Melanoperdix_niger_1.obj,485_oharar,247_ysattia,183_ThomasG,44_Chris
41,Coturnix_coturnix_1,Coturnix_coturnix,Common Quail,Tring,1919.12.17.56,M,Coturnix,coturnix,,Y,https://www.markmybird.org/gallery/coturnix_coturnix/143,http://lfs.nhm.ac.uk/mark-my-bird/Coturnix_coturnix/Coturnix_coturnix_1.obj,70_katie,175_JohnF,43_elliot,44_Chris
