Binomial,Stage1,cytb,coi,nd2,nd3,rag1,bfib5,bfib7,gapdh,myo,odc
Amaurospiza_moesta,0,NA,FJ027052,NA,NA,NA,NA,NA,NA,NA,NA
Ammomanes_deserti,0,NA,FJ465300,NA,NA,NA,NA,NA,NA,NA,NA
Apalis_goslingi,0,NA,NA,NA,NA,AY799812,NA,NA,NA,NA,NA
Atlapetes_latinuchus,0,NA,NA,NA,NA,NA,HQ537398,HQ537401 - Fib intron 7,NA,HQ537411 - MyO intron 2,NA
Cettia_brunnifrons,0,NA,NA,NA,NA,AY319977,NA,NA,NA,NA,NA
Eremopterix_australis,0,NA,NA,NA,NA,AY319982,NA,NA,NA,NA,NA
Formicivora_serrana,0,NA,EU119761,NA,NA,NA,NA,NA,NA,NA,NA
Heliomaster_constantii,0,NA,AY275853,NA,NA,NA,NA,NA,NA,NA,NA
Hylophilus_poicilotis,0,NA,NA,NA,NA,AY443291,NA,NA,NA,NA,NA
Nystalus_chacuru,0,NA,FJ027916,NA,NA,NA,NA,NA,NA,NA,NA
Petronia_dentata,0,NA,NA,AF407041,NA,NA,NA,NA,NA,NA,NA
Pseudoseisura_gutturalis,0,NA,FJ028167,NA,NA,NA,NA,NA,NA,NA,NA
Pyrenestes_ostrinus,0,NA,NA,AY323577,NA,NA,NA,NA,NA,NA,NA
Rhinomyias_goodfellowi,0,NA,NA,NA,NA,AY307211,NA,NA,NA,NA,NA
Sylvietta_denti,0,NA,NA,NA,NA,AY320003,NA,NA,NA,NA,NA
Tinamus_guttatus,0,NA,NA,NA,NA,AF143726,EU739195,EU739351 extraction,NA,EU739905,NA
Abroscopus_schisticeps,1,EU861032,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abroscopus_superciliaris,1,DQ008515,NA,NA,NA,NA,EU680620,NA,NA,DQ008567,EU680702
Aburria_aburri,1,AF165466,AF165490,AY140740,NA,AY140768,NA,NA,NA,NA,NA
Acanthagenys_rufogularis,1,AY488330,GU825785,DQ097555,NA,GU825833,AY488410,NA,NA,NA,NA
Acanthidops_bairdii,1,AF489878,NA,EU647924,NA,NA,NA,NA,NA,NA,NA
Acanthiza_apicalis,1,AY488392,GU825773,AY488316,NA,NA,AY488473,NA,AF129251,NA,NA
Acanthiza_chrysorrhoa,1,AF197851,NA,AY488317,NA,FJ821039,AY488474,NA,NA,FJ821077,NA
Acanthiza_ewingii,1,AF129222,GU825774,GU825892,NA,NA,NA,NA,NA,NA,NA
Acanthiza_inornata,1,AF129225,GU825775,GU825894,NA,GU825824,NA,NA,NA,NA,NA
