FocalGenus,Comment/Source,Type,Clade,Genus1,Genus2,Genus3,Genus4,Genus5,Genus6,Genus7,Genus8,Genus9,Genus10,Genus11,Genus12,Genus13,Genus14,Genus15,Genus16,Genus17,Genus18,Genus19,Genus20,Genus21,Genus22,Genus23,Genus24,Genus25,Genus26,Genus27,Genus28,Genus29,Genus30,Genus31,Genus32,Genus33,Genus34,Genus35,Genus36,Genus37,Genus38,Genus39,Genus40,Genus41,Genus42,Genus43,Genus44,Genus45,Genus46,Genus47,Genus48,Genus49,Genus50,Genus51,Genus52,Genus53,Genus54,Genus55,Genus56,Genus57,Genus58,Genus59,Genus60,Genus61,Genus62,Genus63,Genus64,Genus65,Genus66,Genus67,Genus68,Genus69,Genus70,Genus71,Genus72,Genus73,Genus74,Genus75,Genus76,Genus77,Genus78,Genus79,Genus80,Genus81,Genus82,Genus83,Genus84,Genus85,Genus86,Genus87,Genus88,Genus89,Genus90,Genus91,Genus92,Genus93,Genus94,Genus95,Genus96,Genus97,Genus98,Genus99,Genus100,Genus101,Genus102,Genus103,Genus104,Genus105,Genus106
Panyptila,"Typical swifts 'clade',  Apodini ",include,Apodidae,Panyptila,Aeronautes,Tachornis,Cypsiurus,Apus,Tachymarptis,Collocalia,Hydrochous,Schoutedenapus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schoutedenapus,"Swiftlets 'clade',  Collacilini",include,Apodidae,Schoutedenapus,Collocalia,Hydrochous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tachornis,"Typical swifts 'clade',  Apodini ",include,Apodidae,Tachornis,Aeronautes,Panyptila,Cypsiurus,Apus,Tachymarptis,Collocalia,Hydrochous,Schoutedenapus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Telacanthura,Needletails 'clade' Chaeturini ,include,Apodidae,Telacanthura,Mearnsia,Chaetura,Neafrapus,Rhaphidura,Zoonavena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zoonavena,Needletails 'clade' Chaeturini ,include,Apodidae,Zoonavena,Telacanthura,Mearnsia,Chaetura,Neafrapus,Rhaphidura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agamia,Subfamily Ardeinae,include,Ardeidae,Agamia,Syrigma,Pilherodius,Nycticorax,Nyctanassa,Mesophoyx,Gorsachius,Casmerodius,Butorides,Bubulcus,Ardeola,Egretta,Ardea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorsachius,Subfamily Ardeinae,include,Ardeidae,Gorsachius,Syrigma,Pilherodius,Nycticorax,Nyctanassa,Mesophoyx,Agamia,Casmerodius,Butorides,Bubulcus,Ardeola,Egretta,Ardea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilherodius,Subfamily Ardeinae,include,Ardeidae,Pilherodius,Syrigma,Gorsachius,Nycticorax,Nyctanassa,Mesophoyx,Agamia,Casmerodius,Butorides,Bubulcus,Ardeola,Egretta,Ardea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tigriornis,taxonomy,exclude,Ardeidae,Pilherodius,Syrigma,Gorsachius,Nycticorax,Nyctanassa,Mesophoyx,Agamia,Casmerodius,Butorides,Bubulcus,Ardeola,Egretta,Ardea,Ixobrychus,Zebrilus,Botaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tigriornis,Subfamily Ardeinae,include,Ardeidae,Tigriornis,Zonerodius,Tigrisoma,Cochlearius,Pilherodius,Syrigma,Gorsachius,Nycticorax,Nyctanassa,Mesophoyx,Agamia,Casmerodius,Butorides,Bubulcus,Ardeola,Egretta,Ardea,Ixobrychus,Zebrilus,Botaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zonerodius,taxonomy,exclude,Ardeidae,Pilherodius,Syrigma,Gorsachius,Nycticorax,Nyctanassa,Mesophoyx,Agamia,Casmerodius,Butorides,Bubulcus,Ardeola,Egretta,Ardea,Ixobrychus,Zebrilus,Botaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zonerodius,Subfamily Tigrisomatinae,include,Ardeidae,Zonerodius,Tigrisoma,Cochlearius,Tigriornis,Pilherodius,Syrigma,Gorsachius,Nycticorax,Nyctanassa,Mesophoyx,Agamia,Casmerodius,Butorides,Bubulcus,Ardeola,Egretta,Ardea,Ixobrychus,Zebrilus,Botaurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
