FocalGenus,Comment/Source,Type,Clade,Genus1,Genus2,Genus3,Genus4,Genus5,Genus6,Genus7,Genus8,Genus9,Genus10,Genus11,Genus12,Genus13,Genus14,Genus15,Genus16,Genus17,Genus18,Genus19,Genus20,Genus21,Genus22,Genus23,Genus24,Genus25,Genus26,Genus27,Genus28,Genus29,Genus30,Genus31,Genus32,Genus33,Genus34,Genus35,Genus36,Genus37,Genus38,Genus39,Genus40,Genus41,Genus42,Genus43,Genus44,Genus45,Genus46,Genus47,Genus48,Genus49,Genus50,Genus51,Genus52,Genus53,Genus54,Genus55,Genus56,Genus57,Genus58,Genus59,Genus60,Genus61,Genus62,Genus63,Genus64,Genus65,Genus66,Genus67,Genus68,Genus69,Genus70,Genus71,Genus72,Genus73,Genus74,Genus75,Genus76,Genus77,Genus78,Genus79,Genus80,Genus81,Genus82,Genus83,Genus84,Genus85,Genus86,Genus87,Genus88,Genus89,Genus90,Genus91,Genus92,Genus93,Genus94,Genus95,Genus96,Genus97,Genus98,Genus99,Genus100,Genus101,Genus102,Genus103,Genus104,Genus105,Genus106
Clytomyias,Tribe Malurini,include,BC4,Clytomyias,Sipodotus,Malurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sipodotus,Tribe Malurini,include,BC4,Sipodotus,Malurus,Clytomyias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthornis,all,include,BC7,Anthornis,Phylidonyris,Timeliopsis,Stresemannia,Ramsayornis,Pycnopygius,Ptiloprora,Melithreptus,Plectorhyncha,Xanthotis,Philemon,Pardalotus,Oreornis,Myzomela,Myza,Prosthemadera,Trichodere,Xanthomyza,Melipotes,Apalopteron,Anthochaera,Acanthorhynchus,Acanthagenys,Melitograis,Conopophila,Guadalcanaria,Meliphaga,Melilestes,Melidectes,Manorina,Macgregoria,Lichmera,Ashbyia,Gymnomyza,Certhionyx,Grantiella,Glycichaera,Foulehaio,Epthianura,Entomyzon,Lichenostomus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apalopteron,all,include,BC7,Apalopteron,Phylidonyris,Timeliopsis,Stresemannia,Ramsayornis,Pycnopygius,Ptiloprora,Melithreptus,Plectorhyncha,Xanthotis,Philemon,Pardalotus,Oreornis,Myzomela,Myza,Prosthemadera,Trichodere,Xanthomyza,Melipotes,Anthornis,Anthochaera,Acanthorhynchus,Acanthagenys,Melitograis,Conopophila,Guadalcanaria,Meliphaga,Melilestes,Melidectes,Manorina,Macgregoria,Lichmera,Ashbyia,Gymnomyza,Certhionyx,Grantiella,Glycichaera,Foulehaio,Epthianura,Entomyzon,Lichenostomus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guadalcanaria,all,include,BC7,Guadalcanaria,Phylidonyris,Timeliopsis,Stresemannia,Ramsayornis,Pycnopygius,Ptiloprora,Melithreptus,Plectorhyncha,Xanthotis,Philemon,Pardalotus,Oreornis,Myzomela,Myza,Prosthemadera,Trichodere,Xanthomyza,Melipotes,Anthornis,Anthochaera,Acanthorhynchus,Acanthagenys,Melitograis,Conopophila,Apalopteron,Meliphaga,Melilestes,Melidectes,Manorina,Macgregoria,Lichmera,Ashbyia,Gymnomyza,Certhionyx,Grantiella,Glycichaera,Foulehaio,Epthianura,Entomyzon,Lichenostomus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melitograis,all,include,BC7,Melitograis,Phylidonyris,Timeliopsis,Stresemannia,Ramsayornis,Pycnopygius,Ptiloprora,Melithreptus,Plectorhyncha,Xanthotis,Philemon,Pardalotus,Oreornis,Myzomela,Myza,Prosthemadera,Trichodere,Xanthomyza,Melipotes,Anthornis,Anthochaera,Acanthorhynchus,Acanthagenys,Guadalcanaria,Conopophila,Apalopteron,Meliphaga,Melilestes,Melidectes,Manorina,Macgregoria,Lichmera,Ashbyia,Gymnomyza,Certhionyx,Grantiella,Glycichaera,Foulehaio,Epthianura,Entomyzon,Lichenostomus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myza,all,include,BC7,Myza,Phylidonyris,Timeliopsis,Stresemannia,Ramsayornis,Pycnopygius,Ptiloprora,Melithreptus,Plectorhyncha,Xanthotis,Philemon,Pardalotus,Oreornis,Myzomela,Melitograis,Prosthemadera,Trichodere,Xanthomyza,Melipotes,Anthornis,Anthochaera,Acanthorhynchus,Acanthagenys,Guadalcanaria,Conopophila,Apalopteron,Meliphaga,Melilestes,Melidectes,Manorina,Macgregoria,Lichmera,Ashbyia,Gymnomyza,Certhionyx,Grantiella,Glycichaera,Foulehaio,Epthianura,Entomyzon,Lichenostomus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreornis,all,include,BC7,Oreornis,Phylidonyris,Timeliopsis,Stresemannia,Ramsayornis,Pycnopygius,Ptiloprora,Melithreptus,Plectorhyncha,Xanthotis,Philemon,Pardalotus,Myza,Myzomela,Melitograis,Prosthemadera,Trichodere,Xanthomyza,Melipotes,Anthornis,Anthochaera,Acanthorhynchus,Acanthagenys,Guadalcanaria,Conopophila,Apalopteron,Meliphaga,Melilestes,Melidectes,Manorina,Macgregoria,Lichmera,Ashbyia,Gymnomyza,Certhionyx,Grantiella,Glycichaera,Foulehaio,Epthianura,Entomyzon,Lichenostomus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stresemannia,all,include,BC7,Stresemannia,Phylidonyris,Timeliopsis,Oreornis,Ramsayornis,Pycnopygius,Ptiloprora,Melithreptus,Plectorhyncha,Xanthotis,Philemon,Pardalotus,Myza,Myzomela,Melitograis,Prosthemadera,Trichodere,Xanthomyza,Melipotes,Anthornis,Anthochaera,Acanthorhynchus,Acanthagenys,Guadalcanaria,Conopophila,Apalopteron,Meliphaga,Melilestes,Melidectes,Manorina,Macgregoria,Lichmera,Ashbyia,Gymnomyza,Certhionyx,Grantiella,Glycichaera,Foulehaio,Epthianura,Entomyzon,Lichenostomus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chelidoptera,"Witt 2004 - Fig 4.3. Witt, C. C. 2004. Rates of molecular evolution and their application to neotropical avian biogeography. Louisiana State University Baton Rouge.",include,Bucconidae,Chelidoptera,Monasa,Nystalus,Bucco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hapaloptila,"Witt 2004 - Fig 4.3. Witt, C. C. 2004. Rates of molecular evolution and their application to neotropical avian biogeography. Louisiana State University Baton Rouge.",include,Bucconidae,Hapaloptila,Notharchus,Nonnula,Micromonacha,Hypnelus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypnelus,"Witt 2004 - Fig 4.3. Witt, C. C. 2004. Rates of molecular evolution and their application to neotropical avian biogeography. Louisiana State University Baton Rouge.",include,Bucconidae,Hypnelus,Notharchus,Nonnula,Micromonacha,Hapaloptila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micromonacha,"Witt 2004 - Fig 4.3. Witt, C. C. 2004. Rates of molecular evolution and their application to neotropical avian biogeography. Louisiana State University Baton Rouge.",include,Bucconidae,Micromonacha,Notharchus,Nonnula,Hypnelus,Hapaloptila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monasa,"Witt 2004 - Fig 4.3. Witt, C. C. 2004. Rates of molecular evolution and their application to neotropical avian biogeography. Louisiana State University Baton Rouge.",include,Bucconidae,Monasa,Chelidoptera,Nystalus,Bucco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinoplax,taxonomy; was renamed from Buceros,include,Bucerotidae,Rhinoplax,Buceros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callocephalon,"Brown, D. M. and C. A. Toft. 1999. Molecular systematics and biogeography of the cockatoos (Psittaciformes: Cacatuidae). The Auk:141-157.",include,Cacatuidae,Callocephalon,Calyptorhynchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macropsalis,all,include,Caprimulgidae,Macropsalis,Caprimulgus,Macrodipteryx,Uropsalis,Siphonorhis,Podager,Phalaenoptilus,Nyctiprogne,Nyctiphrynus,Lurocalis,Hydropsalis,Eurostopodus,Eleothreptus,Chordeiles,Nyctidromus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreocharis,taxonomy,include,CC5CC6c,Oreocharis,Oriolus,Paramythia,Sphecotheres,Pitohui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Androphobus,taxonomy,include,CC5CC6d,Androphobus,Mohoua,Psophodes,Falcunculus,Eulacestoma,Cinclosoma,Ptilorrhoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calicalicus,Family Vangidae,include,CC7,Calicalicus,Artamella,Cyanolanius,Euryceros,Falculea,Hypositta,Leptopterus,Newtonia,Oriolia,Pseudobias,Schetba,Tylas,Vanga,Xenopirostris,Mystacornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euryceros,Family Vangidae,include,CC7,Euryceros,Artamella,Cyanolanius,Calicalicus,Falculea,Hypositta,Leptopterus,Newtonia,Oriolia,Pseudobias,Schetba,Tylas,Vanga,Xenopirostris,Mystacornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falculea,Family Vangidae,include,CC7,Falculea,Artamella,Cyanolanius,Calicalicus,Euryceros,Hypositta,Leptopterus,Newtonia,Oriolia,Pseudobias,Schetba,Tylas,Vanga,Xenopirostris,Mystacornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypositta,Family Vangidae,include,CC7,Hypositta,Artamella,Cyanolanius,Calicalicus,Euryceros,Falculea,Leptopterus,Newtonia,Oriolia,Pseudobias,Schetba,Tylas,Vanga,Xenopirostris,Mystacornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptopterus,Family Vangidae,include,CC7,Leptopterus,Artamella,Cyanolanius,Calicalicus,Euryceros,Falculea,Hypositta,Newtonia,Oriolia,Pseudobias,Schetba,Tylas,Vanga,Xenopirostris,Mystacornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newtonia,Family Vangidae,include,CC7,Newtonia,Artamella,Cyanolanius,Calicalicus,Euryceros,Falculea,Hypositta,Leptopterus,Oriolia,Pseudobias,Schetba,Tylas,Vanga,Xenopirostris,Mystacornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oriolia,Family Vangidae,include,CC7,Oriolia,Artamella,Cyanolanius,Calicalicus,Euryceros,Falculea,Hypositta,Leptopterus,Newtonia,Pseudobias,Schetba,Tylas,Vanga,Xenopirostris,Mystacornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schetba,Family Vangidae,include,CC7,Schetba,Artamella,Cyanolanius,Calicalicus,Euryceros,Falculea,Hypositta,Leptopterus,Newtonia,Pseudobias,Oriolia,Tylas,Vanga,Xenopirostris,Mystacornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tylas,Family Vangidae,include,CC7,Tylas,Artamella,Cyanolanius,Calicalicus,Euryceros,Falculea,Hypositta,Leptopterus,Newtonia,Pseudobias,Oriolia,Schetba,Vanga,Xenopirostris,Mystacornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eutrichomyias,Monarch Flycatchers,include,CC8,Eutrichomyias,Arses,Chasiempis,Clytorhynchus,Grallina,Hypothymis,Mayrornis,Metabolus,Monarcha,Myiagra,Neolalage,Pomarea,Terpsiphone,Trochocercus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urolestes,Family Laniidae,include,CC8,Urolestes,Corvinella,Lanius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esacus,Stone-curlews,include,Charadrii,Esacus,Burhinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anastomus,all,include,Ciconiidae,Anastomus,Leptoptilos,Mycteria,Jabiru,Ephippiorhynchus,Ciconia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
