Clade,Species,cmyc,rag1,rag2,myoglobin,Glyceraldehyde3phosphate,MUSK,OrnithineDecarboxylase,Rhodopsin,TGFB2,Tropomyosin,ZENK,ZENK3UTR,cytb,coi,nd2,nd3
Cotingidae,Phytotoma_rutila,AF295173,FJ501712,FJ501892,AY338743,AY336581,,DQ435494,,,,,,AF453822,FJ028072,,AY489530
Cracidae,Ortalis_canicollis,AY034417,AY140774,AY140788,,,,,,,,,,AF165472,AF165496,AY140746,
Cuculidae,Cuculus_canorus,AF295127,AF294655,,EU739953,,EU739798,DQ881731,EU737206,EU737367,EU737526,,,AY274034,EF515762,AY274060,
Daphoenositta_chrysoptera,Daphoenositta_chrysoptera,,AY443281,AY443138,EU380505,EU380474,,,,,,,,,,,
Dasyornis_broadbenti,Dasyornis_broadbenti,,,,,,,,,,,,,AY353242,,AY488318,
Dendrocygninae,Dendrocygna_viduata,,,,,,,,,,,,,EU585649,FJ027500,EU585712,
EurylaimidaePittidae,Smithornis_rufolateralis,AF295179,AY057031,AY443228,AY065789,AY336589,EU739755,DQ785972,EU737163,EU737321,,,,AY065727,,,AY489515
Eurypyga_helias,Eurypyga_helias,DQ881898,DQ881806,,DQ881849,,,DQ881733,,,,,,,,,
Falconidae,Daptrius_ater,,AY461397,,EU739954,,EU739799,,EU737207,EU737368,EU737527,,,U83309,,,
Fregatidae,Fregata_magnificens,DQ881900,DQ881808,,EU739965,,EU739810,DQ881735,EU737216,EU737379,EU737535,,,,DQ433645,,
Furridae,Pseudoseisura_lophotes,AY065679,AY065735,FJ461040,AY065762,AY998218,,EF212114,,,,,,AY065706,,,
Galbulidae,Galbula_cyanescens,AF295155,AF294682,,AY165810,,,DQ881737,,,,,,,,,
Gaviidae,Gavia_immer,,AF143733,,EU739969,,EU739814,,EU737220,EU737383,EU737538,,,AF158249,DQ433665,EU166950,AF076357
Gruidae,Grus_cadensis,DQ881903,AF143732,,EU739973,AF339356,EU739817,,EU737224,EU737387,EU737542,,,U27554,AY666489,,AF076358
Hemiprocnidae,Hemiprocne_mystacea,,DQ482637,,EU739976,,EU739820,GU166936,EU737227,EU737390,EU737545,AF490177,AF490232,AY150655,,,
Indicatoridae,Indicator_minor,AY165830,AY165794,,AY165812,,,,,,,,,AY279266,,DQ188158,
Lari,Larus_marinus,,AY228799,,EU739980,FM209964,EU739825,,EU737232,EU737395,EU737548,,,AJ508140,DQ433757,EF373246,
Leptosomus_discolor,Leptosomus_discolor,DQ881910,AY233361,,AY233370,,EU739826,DQ881751,EU737233,,EU737549,,,AF407449,AF407484,AF407466,
M1,Certhia_familiaris,AF377273,AY056983,AY443115,DQ011861,,,EU680713,,,,,,AY352523,AY666487,DQ466857,AF076306
M2,Bombycilla_garrulus,AY227975,AY056981,AY443111,AY228286,EU272099,EU739771,EU680709,EU737179,EU737338,,EF568315,EF568132,AF285796,AY666413,AY329412,
M3,Cinclus_cinclus,AY227979,AY056985,AY443119,AY228291,,,EU680718,,,,EF568316,EF568133,AY397752,,DQ146344,
M4,Sturnus_vulgaris,AF377264,AY057032,AY443232,AY228322,EF441231,,EU680769,EF472850,EF484109,,EF568327,EF568144,AF285790,EF484212,AF407048,AF076305
M5,Catharus_guttatus,EF568205,AY307184,,DQ466820,,,EU680712,EF472875,EF484134,,EF568319,EF568136,X74261,EF484235,AY049524,
M6,Ficedula_hypoleuca,AF377261,DQ466798,EF568276,AY228300,,,EU680728,AF454220,AF454233,AJ299703,EF568325,EF568142,AJ299683,,DQ674466,
Megapodiidae,Alectura_lathami,AF296417,AF294687,,EU739915,,EU739759,DQ881792,EU737168,EU737326,EU737493,,,NC_007227,NC_007227,NC_007227,NC_007227
Meropidae,Merops_viridis,AF295147,AF294675,,AY165815,AY600498,,DQ881752,,EU021560,,,,EU167003,,EU021527,
Mesitornis_unicolor,Mesitornis_unicolor,DQ881911,AY756082,,EU739988,,EU739833,DQ881753,EU737239,EU737403,EU737555,,,,,,
Monias_benschi,Monias_benschi,DQ881912,DQ881815,,DQ881859,,EU739837,DQ881755,EU737244,EU737408,EU737559,,,,,,
Motmotidae,Momotus_momota,AF295170,DQ111789,,EU739992,,EU739836,DQ881754,EU737243,EU021538,,,,U89188,EU442306,AY625193,
Musophagidae,Tauraco_erythrolophus,,DQ482643,,EU740047,,EU739883,,EU737294,EU737462,EU737603,,,AF102084,,,
Nestor_meridionalis,Nestor_meridionalis,,,,,,,,,,,,,AF346390,,,
Nestor_notabilis,Nestor_notabilis,,EF517675,EF517676,,,,,EU665536,EU660276,EU665606,GQ505180,,AF346389,EU621637,EU327641,
Numididae,Numida_meleagris ,,,,EU739995,AY952720,EU739839,,EU737246,EU737410,EU737561,,,L08383,AP005595,AF222557,NC_006382
Nyctibiidae,Nyctibius_grandis,,DQ482612,,EU739997,,EU739841,,EU737248,EU737412,EU737563,AF490176,AF490231,X95766,,,
Odontophoridae,Oreortyx_pictus,,,,,AY952723,,,,,,,,AF252860,DQ433856,AY952749,
Opisthocomus_hoazin,Opisthocomus_hoazin,DQ881914,AY233357,,AY233363,,EU739844,DQ881758,EU737251,EU737415,EU737566,,,U09257,AY274300,AF076363,AF076363
Otididae,Ardeotis_kori,,,,EU739940,,EU739784,,EU737193,EU737352,EU737513,,,AJ511472,,,
P1,Arcator_orostruthus,,AY443261,AY443107,EU680618,,,EU680707,,,,,,,,DQ125986,
P10,Coccothraustes_coccothraustes,AY037844,AY037855,EF568295,AY228292,,,EU680711,,EU878635,,EF568364,EF568180,DQ792780,EF515789,,
P11,Plectrophex_nivalis,AY227994,AY228031,,AY228315,,,EU325826,,,,,,AY156465,DQ433117,EF529821,
P12,Passeri_amoe,,,,EU191801,EU191776,,,EU191816,EU191824,EU191832,,,AF301451,DQ433875,EF529886,
P13P14P16,Emberizoides_herbicola,AY227982,AY228014,,AY228295,,,EU325836,,,,,,EF529974,,EF529860,
P17P18,Tangara_seledon,AY227999,AY228039,,AY228324,,,,,,,,,AY383154,,AY383231,
P19,Saltator_atricollis,AY227996,AY228036,,AY228320,EF441230,,EF441252,,,,,,AY228082,,EF529914,
P2,Nectarinia_olivacea,,AY057009,AY443180,,,,,,,,,,,FJ473232,,AY233998
P20a,Parula_pitiayumi,AY227990,AY228025,,AY228309,,EU815741,,EU815795,EU815819,,,,AY216822,AY030189,AF256500,AY030168
